FVT,BaseType,Test_label,Test_col_used,LCL,UCL,N_total,N_out_of_limits,Percent_out_of_limits
FVT8,CW,Get AngleE,Get AngleE,315.0,336.0,4456,0,0.0
FVT8,CW,Get AngleF,Get AngleF,337.5,337.5,4169,0,0.0
FVT9,CD,Get Angle0,Get Angle0,0.0,0.0,2993,1,0.0003341129301703976
FVT9,CD,Get Angle1,Get Angle1,22.5,22.55297,2993,72,0.024056130972268625
FVT9,CD,Get Angle2,Get Angle2,45.0,45.10331,2993,72,0.024056130972268625
FVT9,CD,Get Angle3,Get Angle3,67.5,67.65643,2991,72,0.024072216649949848
FVT9,CD,Get Angle4,Get Angle4,90.0,90.20895,2991,72,0.024072216649949848
FVT9,CD,Get Angle5,Get Angle5,112.5,112.7533,2991,72,0.024072216649949848
FVT9,CD,Get Angle6,Get Angle6,135.0,135.3198,2991,72,0.024072216649949848
FVT9,CD,Get Angle7,Get Angle7,157.5,157.8835,2991,72,0.024072216649949848
FVT9,CD,Get Angle8,Get Angle8,180.0,180.4116,2991,72,0.024072216649949848
FVT9,CD,Get Angle9,Get Angle9,202.5,202.9485,2991,72,0.024072216649949848
FVT9,CD,Get AngleA,Get AngleA,225.0,225.5468,2991,72,0.024072216649949848
FVT9,CD,Get AngleB,Get AngleB,247.5,248.0602,2991,72,0.024072216649949848
FVT9,CD,Get AngleC,Get AngleC,270.0,270.6021,2991,72,0.024072216649949848
FVT9,CD,Get AngleD,Get AngleD,292.5,292.6821,2985,67,0.022445561139028476
FVT9,CD,Get AngleE,Get AngleE,315.0,315.0288,2979,61,0.020476670023497817
FVT9,CD,Get AngleF,Get AngleF,337.5,337.5,2919,1,0.00034258307639602604
FVT9,CW,Get Angle0,Get Angle0,0.0,0.0,496,0,0.0
FVT9,CW,Get Angle1,Get Angle1,22.5,22.55297,496,94,0.18951612903225806
FVT9,CW,Get Angle2,Get Angle2,45.0,45.10331,496,94,0.18951612903225806
FVT9,CW,Get Angle3,Get Angle3,67.5,67.65643,496,94,0.18951612903225806
FVT9,CW,Get Angle4,Get Angle4,90.0,90.20895,496,94,0.18951612903225806
FVT9,CW,Get Angle5,Get Angle5,112.5,112.7533,496,94,0.18951612903225806
FVT9,CW,Get Angle6,Get Angle6,135.0,135.3198,496,94,0.18951612903225806
FVT9,CW,Get Angle7,Get Angle7,157.5,157.8835,496,94,0.18951612903225806
FVT9,CW,Get Angle8,Get Angle8,180.0,180.4116,496,94,0.18951612903225806
FVT9,CW,Get Angle9,Get Angle9,202.5,202.9485,496,94,0.18951612903225806
FVT9,CW,Get AngleA,Get AngleA,225.0,225.5468,496,94,0.18951612903225806
